NCTId;LeadSponsorName;LeadSponsorClass;CollaboratorName;CollaboratorClass;Condition;StudyType;OverallOfficialName;OverallOfficialAffiliation;OverallOfficialRole;ResponsiblePartyType;ResponsiblePartyInvestigatorFullName;ResponsiblePartyInvestigatorAffiliation;ResponsiblePartyInvestigatorTitle
NCT00002851;European Organisation for Research and Treatment of Cancer - EORTC;NETWORK;;;['Breast Cancer'];Interventional;Walter F. Van den Bogaert, MD, PhD;University Hospital, Gasthuisberg;;;;;
NCT00002851;European Organisation for Research and Treatment of Cancer - EORTC;NETWORK;;;['Breast Cancer'];Interventional;H. Struikmans, MD, PhD;Medisch Centrum Haaglanden Westeinde;;;;;
NCT00002851;European Organisation for Research and Treatment of Cancer - EORTC;NETWORK;;;['Breast Cancer'];Interventional;Alain Fourquet, MD;Institut Curie;;;;;
NCT00002851;European Organisation for Research and Treatment of Cancer - EORTC;NETWORK;;;['Breast Cancer'];Interventional;Harry Bartelink, MD, PhD;The Netherlands Cancer Institute;;;;;
NCT00002864;NCIC Clinical Trials Group;NETWORK;;;['Breast Cancer'];Interventional;Michael N. Pollak, MD;Jewish General Hospital;Study Chair;Sponsor;;;
NCT00002866;NCIC Clinical Trials Group;NETWORK;;;['Breast Cancer', 'Neutropenia'];Interventional;Maureen E. Trudeau, BSc, MA, MD, FRCPC;Toronto Sunnybrook Regional Cancer Centre;Study Chair;Sponsor;;;
NCT00002870;UNICANCER;OTHER;;;['Breast Cancer'];Interventional;Pierre Biron, MD;Centre Leon Berard;Study Chair;;;;
NCT00002873;Radiation Therapy Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Robert R. Kuske, MD;Ochsner Cancer Institute at Ochsner Clinic Foundation;Study Chair;Sponsor;;;
NCT00002900;Southwest Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Cardiac Toxicity'];Observational;Patricia A. Ganz, MD;Jonsson Comprehensive Cancer Center;Study Chair;Sponsor;;;
NCT00002901;City of Hope Medical Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Head and Neck Cancer', 'Lung Cancer', 'Ovarian Cancer', 'Unspecified Adult Solid Tumor, Protocol Specific'];Interventional;James H. Doroshow, MD;City of Hope Comprehensive Cancer Center;Study Chair;;;;
NCT00002920;Southwest Oncology Group;NETWORK;['Cancer and Leukemia Group B'];['NETWORK'];['Breast Cancer', 'Endometrial Cancer'];Interventional;Ronald K. Potkul, MD;Loyola University;Study Chair;Sponsor;;;
NCT00002920;Southwest Oncology Group;NETWORK;['Cancer and Leukemia Group B'];['NETWORK'];['Breast Cancer', 'Endometrial Cancer'];Interventional;Barbara L. Smith, MD, PhD;Massachusetts General Hospital;Study Chair;Sponsor;;;
NCT00002934;Eastern Cooperative Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Lorie L. Hughes, MD;Emory University;Study Chair;Sponsor;;;
NCT00002937;City of Hope Medical Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;James H. Doroshow, MD;City of Hope Comprehensive Cancer Center;Study Chair;;;;
NCT00002942;Wake Forest University Health Sciences;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;David D. Hurd, MD;Wake Forest University Health Sciences;Study Chair;Sponsor;;;
NCT00002953;Medical Research Council;OTHER_GOV;;;['Breast Cancer'];Interventional;James Carmichael, MD, PhD;Nottingham City Hospital;Study Chair;;;;
NCT00002967;NSABP Foundation Inc;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Richard G. Margolese, MD;Jewish General Hospital;Study Chair;;;;
NCT00002998;Alliance for Clinical Trials in Oncology;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Patrick A. Burch, MD;Mayo Clinic;Study Chair;Sponsor;;;
NCT00003002;University of Washington;OTHER;;;['Breast Cancer', 'Lung Cancer', 'Ovarian Cancer'];Interventional;Mary (Nora) L. Disis, MD;University of Washington;Study Chair;Sponsor;;;
NCT00003010;Eastern Cooperative Oncology Group;NETWORK;['North Central Cancer Treatment Group'];['NETWORK'];['Breast Cancer'];Interventional;Joseph A. Sparano, MD;Albert Einstein College of Medicine;Study Chair;;;;
NCT00003010;Eastern Cooperative Oncology Group;NETWORK;['North Central Cancer Treatment Group'];['NETWORK'];['Breast Cancer'];Interventional;James N. Ingle, MD;Mayo Clinic;Study Chair;;;;
NCT00003012;Scottish Cancer Therapy Network;OTHER;;;['Breast Cancer'];Interventional;Chris Twelves, MD, BMedSci, FRCP;University of Glasgow;Study Chair;;;;
NCT00003013;Fondazione IRCCS Istituto Nazionale dei Tumori, Milano;OTHER;;;['Breast Cancer'];Interventional;Gianni Bonadonna, MD;Fondazione IRCCS Istituto Nazionale dei Tumori, Milano;Study Chair;;;;
NCT00003016;University of Oxford;OTHER;;;['Breast Cancer'];Interventional;Rodrigo Arriagada, MD;Karolinska Institutet;Study Chair;;;;
NCT00003032;NCIC Clinical Trials Group;NETWORK;;;['Breast Cancer'];Interventional;Michael R. Crump, MD, FRCPC;Princess Margaret Hospital, Canada;Study Chair;Sponsor;;;
NCT00003035;Georgetown University;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Vered Stearns, MD;University of Michigan Rogel Cancer Center;Study Chair;;;;
NCT00003038;Mayo Clinic;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Adrenocortical Carcinoma', 'Breast Cancer', 'Colorectal Cancer', 'Prostate Cancer', 'Unspecified Adult Solid Tumor, Protocol Specific'];Interventional;Alex A. Adjei, MD, PhD;Mayo Clinic;Study Chair;;;;
NCT00003041;Ohio State University Comprehensive Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Eric H. Kraut, MD;Ohio State University Comprehensive Cancer Center;Study Chair;;;;
NCT00003042;City of Hope Medical Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;George Somlo, MD;City of Hope Medical Center;Principal Investigator;Sponsor;;;
NCT00003050;University of Southern California;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Darcy V. Spicer, MD;University of Southern California;Study Chair;Sponsor;;;
NCT00003066;Herbert Irving Comprehensive Cancer Center;OTHER;;;['Breast Cancer'];Interventional;Amy D. Tiersten, MD;Herbert Irving Comprehensive Cancer Center;Study Chair;;;;
NCT00003068;University of Arizona;OTHER;;;['Breast Cancer', 'Drug/Agent Toxicity by Tissue/Organ'];Interventional;Charles W. Taylor, MD;University of Arizona;Study Chair;;;;
NCT00003086;Louisiana State University Health Sciences Center Shreveport;OTHER;;;['Breast Cancer'];Interventional;Benjamin B. Weinberger, MD;Feist-Weiller Cancer Center at Louisiana State University Health Sciences;Study Chair;Sponsor;;;
NCT00003088;Alliance for Clinical Trials in Oncology;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Marc L. Citron, MD;ProHEALTH Care Associates, LLP;Study Chair;Sponsor;;;
NCT00003095;Southwest Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Observational;Marilyn L. Slovak, PhD;City of Hope Comprehensive Cancer Center;Study Chair;Sponsor;;;
NCT00003098;Jonsson Comprehensive Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;David Heber, MD;Jonsson Comprehensive Cancer Center;Study Chair;Sponsor;;;
NCT00003099;M.D. Anderson Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Sonja E. Singletary, MD;M.D. Anderson Cancer Center;Study Chair;Sponsor;;;
NCT00003103;Memorial Sloan Kettering Cancer Center;OTHER;;;['Bladder Cancer', 'Breast Cancer', 'Colorectal Cancer', 'Esophageal Cancer', 'Head and Neck Cancer', 'Kidney Cancer', 'Lung Cancer', 'Ovarian Cancer', 'Prostate Cancer', 'Unspecified Adult Solid Tumor, Protocol Specific'];Interventional;Michael Morris, MD;Memorial Sloan Kettering Cancer Center;Study Chair;;;;
NCT00003107;Indiana University School of Medicine;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Chronic Myeloproliferative Disorders', 'Gestational Trophoblastic Tumor', 'Kidney Cancer', 'Leukemia', 'Lymphoma', 'Multiple Myeloma and Plasma Cell Neoplasm', 'Myelodysplastic Syndromes', 'Neuroblastoma', 'Ovarian Cancer', 'Testicular Germ Cell Tumor'];Interventional;Michael J. Robertson, MD;Indiana University Melvin and Bren Simon Cancer Center;Study Chair;;;;
NCT00003125;Georgetown University;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Esophageal Cancer', 'Gastric Cancer', 'Lung Cancer', 'Pancreatic Cancer', 'Unspecified Adult Solid Tumor, Protocol Specific'];Interventional;John L. Marshall, MD;Lombardi Comprehensive Cancer Center;Study Chair;;;;
NCT00003135;The University of Texas Health Science Center, Houston;OTHER;;;['Breast Cancer', 'Cervical Cancer', 'Endometrial Cancer', 'Ovarian Cancer'];Interventional;Joan M.C. Bull, MD;The University of Texas Health Science Center, Houston;Study Chair;;;;
NCT00003140;NCIC Clinical Trials Group;NETWORK;['European Organisation for Research and Treatment of Cancer - EORTC'];['NETWORK'];['Breast Cancer'];Interventional;Paul E. Goss, MD, PhD;Massachusetts General Hospital;Study Chair;Sponsor;;;
NCT00003140;NCIC Clinical Trials Group;NETWORK;['European Organisation for Research and Treatment of Cancer - EORTC'];['NETWORK'];['Breast Cancer'];Interventional;James N. Ingle, MD;Mayo Clinic;Study Chair;Sponsor;;;
NCT00003140;NCIC Clinical Trials Group;NETWORK;['European Organisation for Research and Treatment of Cancer - EORTC'];['NETWORK'];['Breast Cancer'];Interventional;Monica Castiglione-Gertsch, MD;University Hospital Inselspital, Berne;Study Chair;Sponsor;;;
NCT00003140;NCIC Clinical Trials Group;NETWORK;['European Organisation for Research and Treatment of Cancer - EORTC'];['NETWORK'];['Breast Cancer'];Interventional;Nicholas J. Robert, MD;Fairfax Northern Virginia Hematology Oncology, PC - Fairfax;Study Chair;Sponsor;;;
NCT00003140;NCIC Clinical Trials Group;NETWORK;['European Organisation for Research and Treatment of Cancer - EORTC'];['NETWORK'];['Breast Cancer'];Interventional;Silvana Martino, DO;Saint John's Cancer Institute;Study Chair;Sponsor;;;
NCT00003140;NCIC Clinical Trials Group;NETWORK;['European Organisation for Research and Treatment of Cancer - EORTC'];['NETWORK'];['Breast Cancer'];Interventional;Hyman B. Muss, MD;University of Vermont;Study Chair;Sponsor;;;
NCT00003140;NCIC Clinical Trials Group;NETWORK;['European Organisation for Research and Treatment of Cancer - EORTC'];['NETWORK'];['Breast Cancer'];Interventional;Martine J. Piccart-Gebhart, MD, PhD;Jules Bordet Institute;Study Chair;Sponsor;;;
NCT00003162;Radiation Therapy Oncology Group;NETWORK;['North Central Cancer Treatment Group'];['NETWORK'];['Breast Cancer', 'Metastatic Cancer', 'Pain', 'Prostate Cancer'];Interventional;William F. Hartsell, MD;Advocate Lutheran General Hospital;Study Chair;Sponsor;;;
NCT00003162;Radiation Therapy Oncology Group;NETWORK;['North Central Cancer Treatment Group'];['NETWORK'];['Breast Cancer', 'Metastatic Cancer', 'Pain', 'Prostate Cancer'];Interventional;Ivy A. Petersen, MD;Mayo Clinic;Study Chair;Sponsor;;;
NCT00003165;University of Glasgow;OTHER;;;['Breast Cancer'];Interventional;Chris Twelves, MD, BMedSci, FRCP;University of Glasgow;Study Chair;;;;
NCT00003184;Providence Cancer Center, Earle A. Chiles Research Institute;OTHER;;;['Breast Cancer'];Interventional;Walter J. Urba, MD, PhD;Providence Cancer Center, Earle A. Chiles Research Institute;Study Chair;;;;
NCT00003199;Fred Hutchinson Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Estrogen Receptor-negative Breast Cancer', 'Estrogen Receptor-positive Breast Cancer', 'Inflammatory Breast Cancer', 'Male Breast Cancer', 'Progesterone Receptor-negative Breast Cancer', 'Progesterone Receptor-positive Breast Cancer', 'Stage IIIB Breast Cancer', 'Stage IV Breast Cancer'];Interventional;Leona A Holmberg;Fred Hutchinson Cancer Research Center/University of Washington Cancer Consortium;Principal Investigator;Principal Investigator;Leona Holmberg;Fred Hutchinson Cancer Center;Principal Investigator
NCT00003205;University of Colorado, Denver;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Andrew S. Kraft, MD;University of Colorado, Denver;Study Chair;Sponsor;;;
NCT00003219;University of Wisconsin, Madison;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Howard H. Bailey, MD;University of Wisconsin, Madison;Study Chair;Sponsor;;;
NCT00003236;Eastern Cooperative Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;William J. Gradishar, MD;Robert H. Lurie Cancer Center;Study Chair;;;;
NCT00003253;Oncotech;INDUSTRY;;;['Breast Cancer'];Interventional;Rita S. Mehta, MD;Oncotech;Study Chair;;;;
NCT00003269;Scripps Health;OTHER;;;['Breast Cancer', 'Drug/Agent Toxicity by Tissue/Organ', 'Lung Cancer', 'Lymphoma', 'Ovarian Cancer', 'Unspecified Adult Solid Tumor, Protocol Specific'];Interventional;James R. Mason, MD;Ida M. and Cecil H. Green Cancer Center at Scripps Clinic;Study Chair;;;;
NCT00003302;Abramson Cancer Center of the University of Pennsylvania;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Mitchell Schnall, PhD;Abramson Cancer Center of the University of Pennsylvania;Study Chair;Sponsor;;;
NCT00003351;Alliance for Clinical Trials in Oncology;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Edith A. Perez, MD;Mayo Clinic;Study Chair;Sponsor;;;
NCT00003352;NSABP Foundation Inc;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Norman Wolmark, MD;NSABP Foundation Inc;Principal Investigator;Sponsor;;;
NCT00003357;Memorial Sloan Kettering Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Teresa Ann Gilewski, MD;Memorial Sloan Kettering Cancer Center;Study Chair;;;;
NCT00003392;UNC Lineberger Comprehensive Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Thomas C. Shea, MD;UNC Lineberger Comprehensive Cancer Center;Study Chair;Sponsor;;;
NCT00003404;Dartmouth-Hitchcock Medical Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Richard J. Barth, MD;Norris Cotton Cancer Center;Study Chair;Principal Investigator;Richard J. Barth,Jr.;Dartmouth-Hitchcock Medical Center;Chief, Section of General Surgery
NCT00003408;Cancer Treatment Centers of America;OTHER;;;['Breast Cancer', 'Chronic Myeloproliferative Disorders', 'Gestational Trophoblastic Tumor', 'Kidney Cancer', 'Leukemia', 'Lymphoma', 'Multiple Myeloma and Plasma Cell Neoplasm', 'Myelodysplastic Syndromes', 'Neuroblastoma', 'Ovarian Cancer', 'Sarcoma', 'Testicular Germ Cell Tumor'];Interventional;Anastasios Raptis, MD;Cancer Treatment Centers of America;Study Chair;;;;
NCT00003412;Beth Israel Deaconess Medical Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;David Avigan, MD;Beth Israel Deaconess Medical Center;Study Chair;;;;
NCT00003418;International Collaborative Cancer Group;OTHER;['UNICANCER'];['OTHER'];['Breast Cancer'];Interventional;R. Charles Coombes, MD, MRCP, FRCP, PhD, FMedSci;Charing Cross Hospital;Study Chair;;;;
NCT00003418;International Collaborative Cancer Group;OTHER;['UNICANCER'];['OTHER'];['Breast Cancer'];Interventional;Robert Paridaens, MD, PhD;University Hospital, Gasthuisberg;Study Chair;;;;
NCT00003418;International Collaborative Cancer Group;OTHER;['UNICANCER'];['OTHER'];['Breast Cancer'];Interventional;Moise Namer, MD, PhD;Centre Antoine Lacassagne;Study Chair;;;;
NCT00003425;University of Kentucky;OTHER;;;['Breast Cancer', 'Leukemia', 'Lymphoma', 'Neuroblastoma', 'Ovarian Cancer', 'Sarcoma', 'Unspecified Adult Solid Tumor, Protocol Specific'];Interventional;Donna E. Reece, MD;Lucille P. Markey Cancer Center at University of Kentucky;Study Chair;Sponsor;;;
NCT00003428;Memorial Sloan Kettering Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Clifford A. Hudis, MD;Memorial Sloan Kettering Cancer Center;Study Chair;;;;
NCT00003432;Duke University;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Herbert K. Lyerly, MD;Duke University;Study Chair;Sponsor;;;
NCT00003440;National Cancer Institute (NCI);NIH;;;['HER2-negative Breast Cancer', 'HER2-positive Breast Cancer', 'Recurrent Breast Cancer', 'Stage IIIC Breast Cancer', 'Stage IV Breast Cancer'];Interventional;Andrew Seidman;Cancer and Leukemia Group B;Principal Investigator;Sponsor;;;
NCT00003454;Burzynski Research Institute;OTHER;;;['Stage IV Breast Cancer'];Interventional;Stanislaw R. Burzynski, MD, PhD;Burzynski Research Institute;Principal Investigator;Sponsor;;;
NCT00003455;Burzynski Research Institute;OTHER;;;['Stage IV Breast Cancer', 'Recurrent Breast Cancer'];Interventional;Stanislaw R. Burzynski, MD, PhD;Burzynski Research Institute;Study Chair;;;;
NCT00003519;Eastern Cooperative Oncology Group;NETWORK;['Cancer and Leukemia Group B'];['NETWORK'];['Breast Cancer'];Interventional;Lori J. Goldstein, MD;Fox Chase Cancer Center;Study Chair;;;;
